Date,T,W,SR,DSP,DRH,PanE
"73,090",22.70,456.50,649.60,101.30,70,0.74
"73,190",22.10,463.30,,101.30,72,0.74
"80,190",20.50,374.50,681.90,101.20,68,0.73
"80,290",20.80,390.40,628.80,101.40,65,0.72
"80,390",21.20,431.40,437.50,101.50,71,0.53
"80,490",21.20,478.80,509.90,101.40,75,0.56
"80,590",21.70,369,586.70,101.30,75,0.60
"80,690",22.70,362.20,589.80,101.30,73,0.63
"80,790",23,371.70,490.60,101.30,75,0.53
"80,890",22.60,397.20,452.30,101.30,76,0.50
"80,990",22.40,421.40,522.50,101.30,73,0.59
"81,090",22.20,425.90,434.60,101.30,78,0.47
"81,190",22.60,423.70,541,101.20,76,0.58
"81,290",22.50,399.50,590.80,101.30,77,0.62
"81,390",20.90,439.60,297,101.30,79,0.35
"81,490",20.60,338.50,303.70,101.30,81,0.30
"81,590",21.20,381.70,433.10,101.30,72,0.49
"81,690",22.20,429.10,562.70,101.40,67,0.67
"81,790",21.50,336.60,494.20,101.20,72,0.53
"81,890",20.20,376.30,301,101.30,77,0.35
"81,990",20.60,407.70,541.40,101.30,68,0.62
"82,090",20.70,426.40,648,101.30,65,0.76
"82,190",21.10,400,639.30,101.60,67,0.70
"82,290",21.30,371.70,639.30,101.40,70,0.67
"82,390",20.80,370.40,606,101.10,67,0.67
"82,490",20.80,426.80,376.70,101.40,69,0.51
"82,590",21.10,369,576.50,101.50,65,0.68
"82,690",21,453.70,628.50,101.60,61,0.77
"82,790",21.50,479.20,644.30,101.50,64,0.80
"82,890",22.90,405.40,639.90,101.40,64,0.78
"82,990",22,310.70,608.80,101.40,73,0.60
"83,090",21,375.40,567.80,101.20,76,0.55
"83,190",21.60,383.60,537.50,101.20,74,0.56
"90,190",21.10,361.20,550.50,101.20,71,0.58
"90,290",21.20,366.30,559,101.20,73,0.58
"90,390",21.60,363.10,554.80,101.10,74,0.57
"90,490",22,347.60,562.70,101.30,74,0.56
"90,590",23.60,319.30,589.10,101.40,71,0.62
"90,690",24.30,409.50,604,101.40,67,0.73
"90,790",24.40,383.10,591.50,101.20,58,0.77
"90,890",24.10,307.50,591.10,101,65,0.67
"90,990",24,346.70,585.40,100.90,68,0.65
"91,090",23.80,463.30,581.90,101,69,0.73
"91,190",23.70,458.30,578.20,101,62,0.79
"91,290",21.10,316.10,534.70,101,80,0.47
"91,390",20.30,335.30,503.90,101,78,0.44
"91,490",20.80,324.80,417.10,101.30,81,0.38
"91,590",21.60,288.80,463.30,101.20,74,0.44
"91,690",20.20,336.20,490.50,101,72,0.50
"91,790",19.90,387.70,470.60,101.20,68,0.53
"91,890",20.50,374.90,448,101.40,62,0.56
"91,990",20.30,451,408.90,101.10,65,0.56
"92,090",21,423.20,425.50,100.90,58,0.62
"92,190",21.70,349.90,501.20,101.30,62,0.60
"92,290",21.50,378.60,535.20,101.60,66,0.61
"92,390",21,405.40,453.80,101.60,70,0.51
"92,490",20.90,444.20,507.80,101.50,67,0.58
"92,590",20.90,421.80,500.30,101.50,71,0.54
"92,690",21.20,338.50,455.80,101.40,71,0.47
"92,790",20.40,388.60,252.60,101.30,68,0.38
"92,890",20.30,371.70,-999,101.20,70,0.45
"92,990",20.10,331.60,298.10,101.20,75,0.32
"93,090",20.90,376.30,464.40,101.10,73,0.50
"100,190",20.70,377.60,304.40,101.40,75,0.36
"100,290",20.60,310.20,240.10,101,71,0.33
"100,390",21.60,339.80,493.60,101.20,66,0.55
"100,490",22.20,369.40,510.70,101.50,68,0.55
"100,590",20.70,444.20,456.50,101.40,78,0.44
"100,690",20.40,376.70,413.20,101.30,70,0.48
"100,790",19.80,341.20,319.30,101.30,65,0.41
"100,890",21.10,350.30,471.50,101.50,56,0.64
"100,990",23.70,323.90,509.20,101.60,13,1.03
"101,090",22.80,225,487.80,101.10,19,0.82
"101,190",19.40,296.10,472.30,101.30,58,0.55
"101,290",19.20,354,463,101.30,71,0.42
"101,390",18.90,324.30,404,101.20,73,0.37
"101,490",19.40,363.50,388.70,101.20,70,0.42
"101,590",19.60,308.90,306.40,101.20,74,0.33
"101,690",20.10,380.40,337.80,101.10,70,0.41
"101,790",20.20,345.30,383.90,101.50,68,0.44
"101,890",19.80,327.10,265.60,101.40,77,0.30
"101,990",19.60,435,288,101.10,69,0.38
"102,090",20.10,404.10,437.10,101.30,63,0.54
"102,190",20.40,326.20,449.10,101.50,19,0.81
"102,290",20.70,227.30,433.70,101.20,23,0.70
"102,390",20.60,253.70,441.30,101.20,35,0.69
"102,490",20.70,308.40,418.40,101.40,39,0.62
"102,590",19.90,306.10,403.10,101.50,54,0.50
"102,690",18.40,324.80,406.10,101.30,64,0.42
"102,790",17.40,343,416.60,101.40,71,0.33
"102,890",17.40,329.80,358,101.40,79,0.25
"102,990",18.30,268.80,400.90,101.40,66,0.33
"103,090",18,256.50,286.20,101.60,81,0.21
"103,190",18.50,283.30,340.20,101.60,72,0.32
"110,190",17.30,442.30,-999,101.40,62,0.44
"110,290",17.10,433.20,-999,101.30,46,0.60
"110,390",16.30,265.10,399.10,101.80,24,0.57
"110,490",16.80,286.10,368.90,102,37,0.50
"110,590",16.60,302.90,389.90,101.20,56,0.44
"110,690",17.50,370.40,336.30,101,59,0.48
"110,790",16.90,507.50,386.20,101.60,21,0.83
"110,890",16.90,252.40,381.10,102,32,0.51
"110,990",19.50,289.30,362.80,101.70,38,0.58
"111,090",21.20,233.20,337.50,101.50,28,0.57
"111,190",20.60,194.10,321,101.70,30,0.54
"111,290",20.60,282.40,305,101.70,35,0.53
"111,390",19.20,265.60,356.70,101.40,42,0.45
"111,490",17.10,326.60,298.50,101.40,70,0.28
"111,590",16.80,310.70,338.10,101.70,66,0.29
"111,690",16.90,283.80,232.90,101.80,79,0.19
"111,790",17.40,292.90,322.70,101.80,75,0.27
"111,890",17.40,320.20,313.80,101.40,70,0.32
"111,990",16.50,462.80,152.80,101.10,72,0.26
"112,090",15.50,448.30,214.90,101.30,75,0.30
"112,190",14.70,342.10,302.40,101.80,60,0.34
"112,290",15.70,252.40,335.20,101.90,51,0.38
"112,390",17.50,272.90,320.60,101.50,31,0.51
"112,490",17.30,228.20,273.80,101.50,57,0.32
"112,590",15.90,264.20,303.40,101.50,66,0.29
"112,690",14.50,660.50,276.60,101.20,52,0.53
"112,790",13.40,315.20,325.50,101.80,46,0.40
"112,890",14.90,298.80,334.70,102.10,35,0.51
"112,990",15.10,272.40,313.20,102,30,0.52
"113,090",14.30,174.90,228.50,101.70,48,0.27
"120,190",13.90,246.90,309.30,101.70,48,0.32
"120,290",15.20,237.80,323.50,101.90,38,0.43
"120,390",16.10,244.20,302.50,102.10,26,0.51
"120,490",15.30,258.30,317.20,102.10,30,0.50
"120,590",15.50,242.30,222.90,101.80,32,0.40
"120,690",15.80,251.50,311.40,101.90,40,0.46
"120,790",16.40,277.40,269.10,101.80,21,0.56
"120,890",15.90,240.10,246.60,101.70,24,0.46
"120,990",15.20,184,307.30,101.80,31,0.40
"121,090",14.90,190,300.30,101.70,28,0.41
"121,190",15.70,220.90,205.60,101.50,50,0.30
"121,290",15.50,303.40,180.80,101.50,70,0.25
"121,390",14.60,282.40,191.40,101.70,57,0.30
"121,490",13.30,242.80,221.70,101.60,64,0.23
"121,590",13.10,253.30,216.30,101.30,61,0.25
"121,690",13.20,461,226.10,101.40,52,0.40
"121,790",12.40,248.30,285,102.10,59,0.28
"121,890",12.70,346.70,304,101.80,56,0.35
"121,990",13.90,705.60,195.50,101,71,0.37
"122,090",11,800.80,162.40,101.20,66,0.43
"122,190",9.40,520.70,133.80,101.40,63,0.33
"122,290",7.80,336.20,290.50,101.80,51,0.34
"122,390",8.20,296.10,231.60,102.40,29,0.40
"122,490",10.70,258.70,308.20,101.90,30,0.42
"122,590",10.10,211.40,235.40,101.80,39,0.32
"122,690",11.50,227.30,306.50,101.70,34,0.37
"122,790",12,213.20,215.70,101.40,34,0.35
"122,890",12.60,305.20,277.90,101,55,0.35
"122,990",12.20,328.40,147.90,101.50,70,0.20
"123,090",11.60,236.40,307.10,102.30,41,0.33
"123,190",11.20,204.10,290.80,102.10,40,0.32
